party;step;pv;area;change;pop;change_st
Social Democratic Party of Germany;3;39;Central Europa;520;33;31
Social Democratic Party of Germany;4;43;Central Europa;613;41;93
Social Democratic Party of Germany;5;46;Central Europa;719;49;107
Social Democratic Party of Germany;6;43;Central Europa;867;42;147
Social Democratic Party of Germany;7;43;Central Europa;1014;42;147
Social Democratic Party of Germany;8;38;Central Europa;1098;31;84
Social Democratic Party of Germany;9;37;Central Europa;1142;28;44
Social Democratic Party of Germany;10;33;Central Europa;1244;19;102
Social Democratic Party of Germany;11;36;Central Europa;1362;27;118
Social Democratic Party of Germany;12;41;Central Europa;1428;40;66
Social Democratic Party of Germany;13;39;Central Europa;1457;34;30
Social Democratic Party of Germany;14;34;Central Europa;1473;23;15
Social Democratic Party of Germany;15;23;Central Europa;1483;-10;10
Social Democratic Party of Germany;16;26;Central Europa;1550;2;67
Social Democratic Party of Germany;17;21;Central Europa;1566;-18;16
Social Democratic Party of Germany;18;21;Central Europa;1566;-18;0
Social Democratic Party of Switzerland;0;26;Central Europa;0;;
Social Democratic Party of Switzerland;1;27;Central Europa;650;4;650
Social Democratic Party of Switzerland;2;26;Central Europa;1146;2;496
Social Democratic Party of Switzerland;3;26;Central Europa;1276;2;130
Social Democratic Party of Switzerland;4;23;Central Europa;1520;-9;245
Social Democratic Party of Switzerland;5;23;Central Europa;1584;-11;63
Social Democratic Party of Switzerland;6;25;Central Europa;1665;-2;82
Social Democratic Party of Switzerland;7;24;Central Europa;1725;-4;60
Social Democratic Party of Switzerland;8;23;Central Europa;1749;-11;24
Social Democratic Party of Switzerland;9;18;Central Europa;1786;-30;37
Social Democratic Party of Switzerland;10;18;Central Europa;1811;-30;25
Social Democratic Party of Switzerland;11;22;Central Europa;1859;-11;48
Social Democratic Party of Switzerland;12;22;Central Europa;1901;-9;42
Social Democratic Party of Switzerland;13;23;Central Europa;1960;-6;58
Social Democratic Party of Switzerland;14;20;Central Europa;2004;-21;44
Social Democratic Party of Switzerland;15;19;Central Europa;2538;-25;534
Social Democratic Party of Switzerland;16;19;Central Europa;2727;-25;189
Social Democratic Party of Switzerland;17;19;Central Europa;2727;-25;0
Social Democratic Party of Switzerland;18;19;Central Europa;2727;-25;0
Socialist People’s Party;0;6;North Europe;0;;
Socialist People’s Party;1;6;North Europe;536;-6;536
Socialist People’s Party;2;11;North Europe;583;83;47
Socialist People’s Party;3;6;North Europe;634;39;51
Socialist People’s Party;4;9;North Europe;732;88;98
Socialist People’s Party;5;6;North Europe;806;54;74
Socialist People’s Party;6;5;North Europe;849;36;43
Socialist People’s Party;7;4;North Europe;931;15;82
Socialist People’s Party;8;6;North Europe;968;67;37
Socialist People’s Party;9;11;North Europe;1110;159;142
Socialist People’s Party;10;12;North Europe;1229;160;119
Socialist People’s Party;11;15;North Europe;1434;187;206
Socialist People’s Party;12;13;North Europe;1493;176;58
Socialist People’s Party;13;8;North Europe;1531;140;39
Socialist People’s Party;14;7;North Europe;1572;128;40
Socialist People’s Party;15;8;North Europe;1714;131;143
Socialist People’s Party;16;6;North Europe;2272;116;558
Socialist People’s Party;17;6;North Europe;2418;110;146
Socialist People’s Party;18;13;North Europe;2766;228;348
